Variables,Site,Time,Tide,mean_vals,var_vals,sd_vals
Phosphate,BP,Day,High,0.14333333333333334,8.754385964912281e-4,0.029587811620517462
Phosphate,BP,Day,Low,0.26,0.04111764705882353,0.20277486791716456
Phosphate,BP,Night,High,0.16641025641025642,0.003060458839406208,0.05532141393173359
Phosphate,BP,Night,Low,0.234,0.016122051282051283,0.1269726398955747
Phosphate,W,Day,High,0.11023809523809523,4.657955865272938e-4,0.02158229798995681
Phosphate,W,Day,Low,0.16047619047619047,0.01598513356562137,0.126432328008391
Phosphate,W,Night,High,0.10780487804878049,6.475609756097561e-4,0.025447219408213467
Phosphate,W,Night,Low,0.1615,0.016366923076923078,0.1279332758781822
Salinity,BP,Day,High,34.47661412948718,0.04454554362007699,0.2110581522236869
Salinity,BP,Day,Low,33.456101506857145,2.261640392550069,1.5038751253179465
Salinity,BP,Night,High,34.35428702615385,0.14005305686517086,0.37423663217965564
Salinity,BP,Night,Low,33.84177673575,0.7897184176732158,0.8886610251795765
Salinity,W,Day,High,34.549040626190475,0.003080006500338198,0.05549780626599756
Salinity,W,Day,Low,33.525308946904765,3.4596856609551083,1.8600230269959317
Salinity,W,Night,High,34.4783078295122,0.0402935231859939,0.20073246669633166
Salinity,W,Night,Low,33.5048396505,4.222052971692119,2.054763483151314
Silicate,BP,Day,High,5.7615384615384615,25.596344939271255,5.05928304597314
Silicate,BP,Day,Low,30.224285714285713,1299.562725210084,36.04944833433771
Silicate,BP,Night,High,8.693846153846154,80.47598218623482,8.97084066218071
Silicate,BP,Night,Low,20.97925,453.7806378846154,21.302127543619097
Silicate,W,Day,High,3.0064285714285712,1.5945991289198604,1.262774377677921
Silicate,W,Day,Low,26.3,1791.1688097560975,42.322202326392436
Silicate,W,Night,High,4.615853658536586,20.86099987804878,4.567384358475732
Silicate,W,Night,Low,26.76575,2185.8660968589743,46.75324691247629
