longitude,site,elev,precip
116 E,Mnt Springs Ranch NV,1650,29.5656
116 E,Mnt Pass CA,1450,21.2344
116 E,Yucca Grove CA,1260,18.4658
116 E,Mitchell Caverns CA,1330,26.543
116 E,Searchlight NV,1000,19.558
116 W,Shoshone CA,480,12.1666
116 E,Pahrump NV,800,11.9634
116 W,Goldstone Echo CA,975,14.732
116 W,Baker CA,380,10.6426
116 W,Dunn Siding CA,485,10.6426
116 W,Wildrose CA,1280,17.526
116 W,Furnace Creek CA,-50,5.6896
116 W,Lathrop Wells NV,810,7.239
116 E,Indian Springs NV,970,8.3566
116 W,Desert Rock NV,1100,14.097
116 W,Barstow CA,700,12.8778
116 E,Boulder City NV,750,14.097
116 E,Overton NV,390,11.9634
116 W,Lucerne Valley CA,295,10.2616
116 W,Trona CA,530,10.0076
116 W,Randsburg CA,1070,16.256
116 W,Dagget CA,590,9.7282
116 E,Bullhead City AZ,170,15.2146
116 E,Needles CA,300,11.2776
116 E,Yucca AZ,550,18.796
116 W,El Mirage Field CA,870,14.7574
116 W,Apple Valley CA,900,13.1318
116 W,Inyokern CA,740,10.5918
116 W,Amargosa Farms NV,730,10.9982
116 E,Las Vegas NV,640,10.541
116 W,Haiwee CA,1240,16.51
